Title,Image,Link
 第四波本土疫情讓你感到焦慮？中醫師傳授三穴位安定心情,https://heho.com.tw/wp-content/uploads/2023/06/1685583322.168.jpg,https://heho.com.tw/archives/278567
 失智症有望透過中醫改善，中醫師傳授保養的四大穴位！,https://heho.com.tw/wp-content/uploads/2023/05/1683105127.6649.jpg,https://heho.com.tw/archives/273818
 按這四大穴位，改善「胃食道逆流」！,https://heho.com.tw/wp-content/uploads/2023/04/1681292928.8434.jpg,https://heho.com.tw/archives/270648
 按摩這三組穴位可有效紓解「慢性疲勞症候群」,https://heho.com.tw/wp-content/uploads/2023/03/1679648895.1824.jpg,https://heho.com.tw/archives/267950
 「自律神經失調」會好嗎？這四穴位平衡身心靈,https://heho.com.tw/wp-content/uploads/2023/03/1677825613.1156.jpg,https://heho.com.tw/archives/265495
 春天是養肝好時機！用 2 方法、壓 2 穴道為整年健康打根基,https://heho.com.tw/wp-content/uploads/2023/02/1676214532.3136.jpg,https://heho.com.tw/archives/262457
 足底筋膜炎總讓你「寸步難行」？中醫推薦按摩 6 穴位助解痛,https://heho.com.tw/wp-content/uploads/2023/01/1673862536.3145.jpg,https://heho.com.tw/archives/259487
 按壓這 4 穴位安定心神、疏肝解鬱又「養肝」,https://heho.com.tw/wp-content/uploads/2023/01/1674102709.1738.jpg,https://heho.com.tw/archives/259008
 改善自律神經失調，４穴道啟動自癒力,https://heho.com.tw/wp-content/uploads/2022/10/1666246770.8593.png,https://heho.com.tw/archives/246433
 腸胃炎上吐下瀉好困擾！手腳２穴位緩解不適感,https://heho.com.tw/wp-content/uploads/2022/12/1671604612.7452.png,https://heho.com.tw/archives/256044
 失眠睡不好，６穴道補氣紓壓助好眠,https://heho.com.tw/wp-content/uploads/2022/10/1665047218.6311.png,https://heho.com.tw/archives/244409
 按摩 4 穴道養好腎補元氣,https://heho.com.tw/wp-content/uploads/2022/09/1664522808.7496.png,https://heho.com.tw/archives/243580
 心情鬱悶也可以看中醫！3 心法 2 穴位讓你變開心,https://heho.com.tw/wp-content/uploads/2022/11/1667809861.095.png,https://heho.com.tw/archives/249444
 好累卻睡不著？４個助眠的保健穴道,https://heho.com.tw/wp-content/uploads/2022/09/1663663286.4215.png,https://heho.com.tw/archives/241548
 中醫看蕁麻疹「３觀念２穴道」舒緩止癢！,https://heho.com.tw/wp-content/uploads/2022/10/1665471060.4892.png,https://heho.com.tw/archives/244932
 提神醒腦必備４大穴道,https://heho.com.tw/wp-content/uploads/2022/09/1662967211.1026.png,https://heho.com.tw/archives/240060
 過敏性頭痛好不舒服！３個穴位舒緩疼痛,https://heho.com.tw/wp-content/uploads/2022/08/1661914064.5081.png,https://heho.com.tw/archives/238140
 炎炎夏日必備，４大穴道防中暑,https://heho.com.tw/wp-content/uploads/2022/07/1657701779.977.png,https://heho.com.tw/archives/230142
 瘦小腹必備！６大減脂穴道改善代謝,https://heho.com.tw/wp-content/uploads/2022/06/1655891571.912.png,https://heho.com.tw/archives/226806
 改善火燒心！養胃４大穴道提升胃健康,https://heho.com.tw/wp-content/uploads/2022/06/1654680323.7933.png,https://heho.com.tw/archives/224095
 補氣又養心，4 穴道保養心血管,https://heho.com.tw/wp-content/uploads/2022/02/1645690619.6939.png,https://heho.com.tw/archives/208047
