Column1,Column2,Column3,Column4,部位,症狀
 舉手不「肩」難，按壓4穴道舒緩50肩,https://heho.com.tw/archives/12259,https://heho.com.tw/wp-content/uploads/2018/04/按4穴舒緩50肩，舉手不「肩」難-.png,"['手', '肩', '50肩']","頸部,肩頸",50肩
 久坐易有大小毛病，按三穴道保健、解久坐不適,https://heho.com.tw/archives/192257,https://heho.com.tw/wp-content/uploads/2021/10/1634030704.6743.png,"['久坐', '久坐']",下肢,久坐
 長期久坐，水腫成蘿蔔腿！中醫傳授４穴位，小腿快速瘦一圈,https://heho.com.tw/archives/27685,https://heho.com.tw/wp-content/uploads/2018/11/瘦小腿穴道-01.png,"['久坐', '水腫', '蘿蔔腿', '小腿']",下肢,久坐
 中暑不適，刮痧4穴位消暑氣,https://heho.com.tw/archives/14261,https://heho.com.tw/wp-content/uploads/2018/05/中暑不適，-4穴位刮痧消暑氣-01.png,"['中暑', '刮痧', '消暑氣']",,中暑
 炎炎夏日易中暑，４穴位幫忙舒緩不適,https://heho.com.tw/archives/87385,https://heho.com.tw/wp-content/uploads/2020/06/89ba885e168e69ac013333121151bd4d.png,['中暑'],,中暑
 炎炎夏日必備，４大穴道防中暑,https://heho.com.tw/archives/230142,https://heho.com.tw/wp-content/uploads/2022/07/1657701779.977.png,['防中暑'],,中暑
 冬天皮在癢，敲打肺經、按穴道止癢有解!,https://heho.com.tw/archives/30075,https://heho.com.tw/wp-content/uploads/2018/12/敲打肺經_按穴道改善冬季癢！.png,"['冬天', '止癢']",皮膚,止癢
 神奇5穴位讓你緩解牙齒疼痛！,https://heho.com.tw/archives/14673,https://heho.com.tw/wp-content/uploads/2018/05/牙齒痛穴位-01.jpg,['牙齒'],牙齒,牙齒痛
 失眠睡不好，６穴道補氣紓壓助好眠,https://heho.com.tw/archives/244409,https://heho.com.tw/wp-content/uploads/2022/10/1665047218.6311.png,"['失眠', '補氣', '紓壓']",,失眠
 多夢、淺眠、難入睡！對症按穴道助你好眠,https://heho.com.tw/archives/27751,https://heho.com.tw/wp-content/uploads/2018/11/淺眠、多夢、難入睡，對症改善好入眠！-01.png,"['多夢', '淺眠', '難入睡']",,失眠
 孩子愛哭鬧、不睡覺？2穴道安神又助眠,https://heho.com.tw/archives/147797,https://heho.com.tw/wp-content/uploads/2020/11/7b230426fb93cc6424802197bc9f75d3.png,['助眠'],,失眠
 好累卻睡不著？４個助眠的保健穴道,https://heho.com.tw/archives/241548,https://heho.com.tw/wp-content/uploads/2022/09/1663663286.4215.png,"['睡不著', '助眠']",,失眠
 想要降血壓、助眠、緩解焦慮，就快按腳上6個黃金穴道！,https://heho.com.tw/archives/41074,https://heho.com.tw/wp-content/uploads/2019/03/黃金6穴道-01.png,"['降血壓', '助眠', '焦慮', '腳']",身心,"失眠,焦慮"
 失智可用中醫改善！日常保養按這４穴道,https://heho.com.tw/archives/186978,https://heho.com.tw/wp-content/uploads/2021/08/1629363660.4416.png,"['失智', '保養']",大腦,失智
 失智症有望透過中醫改善，中醫師傳授保養的四大穴位！,https://heho.com.tw/archives/273818,https://heho.com.tw/wp-content/uploads/2023/05/1683105127.6649.jpg,"['失智症', '保養']",大腦,失智
 治療失智症中醫也可以！５大穴道延緩退化,https://heho.com.tw/archives/28792,https://heho.com.tw/wp-content/uploads/2018/11/治療失智穴道-01.png,"['失智症', '退化']",大腦,失智
 打嗝不停時，這2個穴位讓你立即止嗝！,https://heho.com.tw/archives/10334,https://heho.com.tw/wp-content/uploads/2018/03/止嗝-01.jpg,['止嗝'],喉嚨,打嗝
 甲狀腺亢進不適症狀，巧按穴道助舒緩,https://heho.com.tw/archives/26052,https://heho.com.tw/wp-content/uploads/2018/10/甲狀腺亢進的不適，巧按穴道助舒緩-01.png,['甲狀腺亢進'],內分泌,甲狀腺亢進
 常按魔法穴道，改善孩子皮膚炎困擾,https://heho.com.tw/archives/147500,https://heho.com.tw/wp-content/uploads/2020/11/69e6d65a4bf71ee947c89ace69505536-1.png,['皮膚炎'],皮膚,皮膚炎
 動不動就大爆汗？按4穴道止汗、調理多汗症狀！,https://heho.com.tw/archives/54960,https://heho.com.tw/wp-content/uploads/2019/08/動不動就大爆汗？按摩4穴道調理多汗症狀_01.png,"['爆汗', '止汗', '多汗症']",,多汗症
