id,comment,,
1,: 太美了><,,
2,: 屋哩Jisoo不管什麼表情都是最漂亮♡,,
3,: 燦笑但是不會歪臉的人才能當偶像,,
4,: 她大笑時候看起來超療癒,,
5,: 任何時候都很漂亮的Jisoo,,
6,: 韓國人喜歡大牙齒 台灣人審美偏好小牙齒,,
7,: 每次看到jisoo都會讓人心情很好啊<3,,
8,: 美到要死了♥,,
9,: 看了心情很好～,,
10,: 超美…,,
11,: 真的笑起來超美超好看！！！,,
12,: 一直以為是貼片，居然是真的,,
13,: 這什麼爛標題,,
14,: 標題,,
15,: 記者擺爛了,,
16,: 擺你媽爛 妓者才在擺爛還厚臉皮發垃圾新聞,,
17,: 什麼爛標題,,
18,: 噓標題 噓記者,,
19,: 林坤緯,,
20,: 這什麼爛標題,,
21,: 垃圾標題,,
22,: 標題太爛 明明內文寫得很好,,
23,: 這標題好惡意,,
24,: 這標題很有微博味道,,
25,: 記者,,
26,: 老哥 標題過份了==,,
27,: 這個標題,,
28,: 人家也很努力在學好嗎,,
29,: 看這內文，這記者肯定覺得自己很有幽默,,
30,: 感…,,
31,: 看了一下是哪一家的,,
32,: 喔 TVBS,,
33,: 不意外,,
34,: 祝福記者你遇到真正擺爛同事被拖累哈,,
35,: 哈哈哈哈,,
36,: ？？,,
37,: 記者有夠狠 連Jisoo也要搞,,
38,: 媒體比較擺爛,,
39,: 所以人家是巨星 你是記者,,
40,: 明明是可愛的新聞為什麼要用負面的標題,,
41,: 呢,,
42,: 標題有料,,
43,: 記者一定討厭JISOO,,
44,: 標題直接罵人耶？,,
45,: 這記者也是蠻厚臉皮的,,
46,: .,,
47,: 爛標題,,
48,: 噓標題，大記者才擺爛,,
49,: 厚你妹 什麼爛標題,,
50,: 台媒,,
51,: 記者最爛,,
52,: 記者真好當，超會擺爛,,
53,: 林坤緯這什麼記者的水準...你比她爛,,
54,: 多了好嗎？有什麼資格寫,,
55,: 垃圾標題,,
56,: 推海外生存法則XD,,
57,: 笑死我也是 去國外找家人的時候獨自,,
58,: 行動都硬著頭皮自己上 跟家人同行立,,
59,: 刻轉換成微笑點頭 放棄開口哈哈哈,,
60,: 笑死XDD,,
61,: 聽得懂已經很厲害了,,
62,: 好可愛,,
63,: 不是我剛剛想了一下會講英文的智秀 好,,
64,: 像有點性感（？,,
65,: 笑死大明星跟我出國行為差不多,,
66,: 果然是四次元大姐 可愛死了哈哈哈哈,,
67,: 她真的好可愛，很適合綜藝~,,
68,: 她進步很多 之前是呆住聽嘸 現在能回話了,,
69,: 告白智秀 真可愛,,
70,: 好可愛,,
71,: 可愛！有夠率真！,,
72,: Jisoo的個性真的很好耶 本來無感但看了,,
73,: 她的Blog有被圈粉 漂亮又有趣,,
74,: *vlog (自動選字???,,
75,: 越來越喜歡她欸 好真實 好可愛！！,,
76,: papago真的是偉大發明,,
77,: 好real,,
78,: 她好可愛XDDD,,
79,: 沒必要我來講XDDDDDDD,,
80,: 去國外直接躺平哈哈,,
81,: solo的Jisoo超圈粉～非粉看了她上,,
82,: 泳知的節目吸氦氣講話超可愛，無意,,
83,: 間搜到她自創兒歌氦氣頌，真的被可,,
84,: 愛到～連看好幾遍XD,,
85,: 超可愛！！,,
86,: 生存法則好實用 XD,,
87,: 真性情超可愛,,
88,: 又美又可愛QQ,,
89,: 好可愛,,
90,: https://youtu.be/gUmE_TRdp0s,,
91,: 話最少,,
92,: 好可愛,,
93,: 真的好可愛,,
94,: 推堂堂正正的Jisoo XD,,
95,: Jisoo 真的很漂亮欸 其實把她從bp單獨拉出,,
96,: 來看的話 好感度大增,,
97,: Jisoo個性真的超級有趣 希望以後有機,,
98,: 會可以多上綜藝XD,,
99,: 哇……那她海外大秀跟那些藝術總監是要,,
100,: 怎麼接？隨行翻譯不離身？覺得既然她在,,
101,: 國外都有那麼多活動，被品牌方那麼重視,,
102,: ，就算英文不好，也應該要嘗試努力學習,,
103,: 吧…,,
104,: 身處這種工作環境，兩手一攤不怎麼需要,,
105,: 我自己出馬的態度，就不是瀟灑了欸……,,
106,: 你怎麼知道她沒有在努力學習？,,
107,: 有些人真的管很多==,,
108,: Jisoo越來越好笑了 拜託多上點綜藝XD,,
109,: 她就說她聽得懂了啊 單獨出席品牌活動也都,,
110,: 自己說英文 是在團體裡的時候交給更流利的,,
111,: 團員而已很合理吧,,
112,: 他從不會英文 到都聽得懂 算進步很多了吧,,
113,: 而且他單獨的時候也會說 只是團體的時候交,,
114,: 給其他成員,,
115,: 她不就是努力學習從聽不懂到聽得懂了嗎,,
116,: 你怎麼知道她沒有努力學習 藝術總監就是愛,,
117,: 她啊 不然怎麼能成為第一位登上法國VOGUE,,
118,: 的亞洲人,,
119,: 反正Dior高層講法文吧？交給專業翻譯就,,
120,: 好,,
121,: 看昨天的carpool就知道 她其實進步很多,,
122,: 了 只是跟英文好的其他成員們在一起沒,,
123,: 必要硬講罷了,,
124,: 老哥 你怎知她沒努力學習==,,
125,: 看到她講英文的一點片段,其實還有模有樣的..,
126,: 智秀英文進步超多的！,,
127,: 我和英文好的朋友一起也是擺爛XD,,
128,: 看她YT影片就知道了 她英文算不錯了好嗎= =,,
129,: 大概除了BP跟ITZY 在其他團搞不好就是英語,,
130,: 擔當了,,
131,: 這也太可愛 快笑死 XD,,
132,: 吼唷 有夠可愛,,
133,: 現在每團多少都有海歸或外國人吧XDD,,
134,: 這個訪談講得很清楚了啊,,
135,: 團體活動的時候就讓其他英文更好的成,,
136,: 員講英文,,
137,: 海外生存法則太好笑XDDD,,
138,: 這樣的Jisoo有夠圈粉！好喜歡她上綜藝,,
139,: 真誠的樣子，好有趣！,,
140,: 有強者我朋友的時候擺爛躺平很正常吧XD,,
141,: 而且綜藝當梗自嘲不表示他完全不會講啊,,
142,: 推推,,
143,: 別團都不會有路人這樣要求英文程度，,,
144,: 就只有Jisoo的英文老師特別多(￣▽￣),,
145,: https://reurl.cc/MRmVgL,,
146,: 好可愛,,
147,: Jisoo個性真的圈粉,,
148,: 她只是在謙虛啦，基本的會，而且根本不,,
149,: 用輪到鄉民來替她擔心英文好嗎？我真的,,
150,: 笑死,,
151,: 要找jisoo出席的人根本不在乎幫她請翻譯,,
152,: 或是她不會英文好嗎？XD,,
153,: 太真實了XDDD,,
154,: 他最近的綜藝節目好圈粉喔，是個跟長相,,
155,: 差很多直爽的女生,,
156,: 她個性本來就超適合上綜藝了XD,,
157,: 她在海外演唱會上真的很明顯比較話少只,,
158,: 附和一些單字和做反應XD 真的都交給妹,,
159,: 妹們就好XD 但我覺得小可惜 其實她可以,,
160,: 說韓文啊～想聽～,,
161,: 她個性很古怪可愛耶 而且她新歌有點圈,,
162,: 粉耶,,
163,: 很真實 交給英文最好的朋友來XDD,,
164,: 被她的烏拉拉可愛到了 好可愛哦,,
165,: Jisoo個性超可愛 不用擔心她怎麼跟藝術,,
166,: 總監聊天 人家把她當親女兒寶貝勒 她個,,
167,: 人出席活動也會講 影片很多,,
168,: YG不是語言老師很強 真的要多幫他上英文,,
169,: 這樣跟奢侈品高層或國外人士溝通會更順利,,
170,: 有進步就好 語言真的很難短期進步 加油,,
171,: 真的很喜歡智秀的個性，他在weverse回覆,,
172,: 粉絲的留言很多也很好笑,,
173,: 她超圈路人粉的XD長超漂亮結果個性這麼,,
174,: 有趣,,
175,: 她就承認自己英文普通還有人要硬說去別,,
176,: 團可以當英文擔當,,
177,: 好圈粉 超可愛！,,
178,: 樓上擔心她英文溝通的是住海邊嗎快笑死,,
